"id","tema","mental","penjelasan"
"1","Niat","Prinsip belajar","Belajar itu adalah ibadah. Belajar itu untuk tahu dan bisa. 'Belajar itu ibadah', harus dijalankan dengan jujur, kalau tidak dilakukan dengan benar maka tidak akan mendapatkan pahala. belajar itu persis seperti ibadah, apabila tidak dilakukan dengan benar maka manfaatnya tidak akan di dapat. 'Belajar itu untuk tahu dan bisa'. Belajar itu bukan hanya untuk tahu (teori) tapi harus bisa di praktekkan. Bukan cuma di pahami tapi harus diamalkan, atau dilakukan atau di implementasi."
"2","Niat","Tahu prioritas dari Indah, Benar, dan baik.","Prioritas 1 adalah indah yaitu gabungan dari benar dan baik. Prioritas 2 adalah 'Benar' yaitu menurut pandangan Allah Swt. Prioritas 3 adalah 'Baik' yaitu menurut pandangan manusia. Kamu bukan hanya harus melakukan/mengerjakan apa yang kamu sukai saja, tetapi kamu harus melakukan apa yang penting dan bermanfaat untukmu (walaupun kamu tidak suka). Tidak semua syariat bisa dijalankan dengan sempurna, misalnya seperti poligami (QS An-Nisa 3). Banyak wanita tidak ridlo dengan poligami walaupun itu syariatnya Allah. Wanita yang mampu ridlo dan mampu menjalani poligami berarti telah menyelaraskan antara kebenaran dengan kebaikan. Prioritas kaum muslimin adalah 'Indah' yaitu menggabungkan benar dengan baik."
"3","Niat","Sumpah SI 1  “Bahagia menjadi hamba Allah & siap menghadapNya.”","Ada dua kata penting disini, 'Hamba' dan 'bahagia'. Ada manusia yang tidak ridlo menjadi hamba, dia merasa terpaksa atau dipaksa, dia tinggi hati seperti iblis, yang tak terima karena logika sesatnya bahwa manusia dibuat dari tanah dan dia dari api. Berbeda dengan mukmin yang memahami Al-Quran, ia bahagia, rela, ridlo menjadi seorang hamba atau budaknya Allah. Karena memang itulah kenyataannya. Manusia tak bisa setara apalagi lebih mulia dari Tuhan. Karena kita ridlo dan bahagia, maka kita jauh lebih siap menghadapNya."
"4","Niat","Sumpah SI 2 “Bahagia menjadi umat Muhammad Saw & merindukan perjumpaan dengannya.”","Mencintai orang yang tak pernah kita lihat, itu masalah besar. Banyak manusia tak punya rasa apapun dengan nabi Muhammad Saw. ada yang lebih parah lagi, ia membenci Muhammad Saw. Berbeda dengan mukmin yang memahami Al-Quran, ia bahagia, bahkan bangga menjadi umatnya Nabi Muhammad Saw. Kita pecinta sejati, mengenal dengan baik Nabi Muhammad, sejarahnya, kisah hidupnya, hadits-haditsnya, tunduk dan patuh kepadanya. Karena itulah kita siap dan bahkan merindukannya."
"5","Niat","Sumpah SI 3  “Jatuh cinta pada kalam Allah & siap hidup berpandu padanya.”","Al-Quran adalah kalam Allah, Al-Quran adalah jejak Allah paling nyata di dunia ini. Merupakan kesalahan serius kalau manusia buta tentang Al-Quran. Kita mencinta Al-Quran. Dan pecinta sejati itu mempelajari Quran, dan benar-benar menjadikan Quran sebagai petunjuk kehidupan. Bukan cinta namanya kalau hanya menjadikan Al-Quran sebagai bacaan belaka, hafalan belaka. Tidak di pelajari, tidak direnungi, tidak dijadikan pedoman kehidupan."
"6","Niat","Sumpah SI 4  “Ingin mulia di akhirat dengan menghafal alQuran.”","Mukmin yang hebat, bukan cuma pembaca saja, mukmin yang hebat adalah penghafal Al-Quran. Sebab pemahaman dan pengamalan al-Quran sangat bergantung dengan kekuatan hafalan. Seorang mukmin harus mencari referensi dari Al-Quran tentang apapun yang dihadapinya. Dan ini akan sulit sekali apabila ia tidak menghafalnya."
"7","Niat","Sumpah SI 4 “Ingin Mulia di dunia dengan teknologi bisnis & dakwah.”","Mukmin yang hebat tidak gagap dengan kehidupan dunia. Dia tidak hanya ahli tentang masalah akhirat saja. Ia harus ahli juga terhadap urusan duniawi. Teknologi dan bisnis adalah tanda / tren jaman ini. Maka menguasainya adalah syarat mutlak kita bisa mendapatkan kebahagian dunia."
"8","Niat","Berpikir Besar","Apa yang kamu inginkan itulah yang kamu dapat. Berpikirlah yang besar maka kamu akan dapat yang besar. Bercita-citalah yang tinggi, kalaupun tidak tercapai puncaknya, kamu sudah tinggi mendakinya. Misalnya cita-citamu menjadi menteri bidang teknologi, segagal-gagalnya kamu minimal menjadi staf ahli kementrian teknologi, atau staf di departemen kementrian teknologi."
"9","Niat","Tidak ada rasa malu kecuali","Ketika terpikir mau berbuat dosa. Ketika sedang berbuat dosa. dan Setelah melakukan dosa. Tidak boleh ada rasa malu kecuali dalam tiga hal. pertama, ketika terpikir akan berbuat dosa. kedua, ketika sedang berbuat dosa. dan ketiga, setelah melakukan dosa. Selain ketiga itu kita tidak layak punya perasaan malu, misalnya seperti malu bertanya, malu bicara dihadapkan umum, malu tampil, malu memimpin, malu punya ambisi, malu membicarakan potensi diri, dsb."
"10","Niat","Mental Inisiatif","Adalah kemampuan untuk bertindak tanpa menunggu perintah atau dorongan dari orang lain. inisiatif bukan sekadar 'bergerak duluan,' melainkan mental yang menunjukkan kepedulian, tanggung jawab, dan keberanian. Orang yang inisiatifnya bagus : Performa pengembangan dirinya akan pesat. Kepercayaan dirinya akan sangat baik. Performa kompetensinya akan sangat pesat. Orang yang berinisiatif biasanya lebih cepat belajar dan menemukan solusi baru. Sering mendapatkan peluang, dengan bertindak lebih dulu, kesempatan untuk berkembang atau meraih posisi lebih baik, dapat cepat tercapai."
